timestamp;pond;ph;do;temp
02/01/26 21.45;Catfish;7.04;4.28;28.55
02/01/26 22.00;Catfish;7.03;4.2;28.45
02/01/26 22.15;Catfish;7.08;4.21;28.65
02/01/26 22.30;Catfish;7.06;4.62;28.68
02/01/26 22.45;Catfish;7.05;4.85;28.52
02/01/26 23.00;Catfish;6.89;4.45;28.42
02/01/26 23.15;Catfish;7.19;4.27;28.56
02/01/26 23.30;Catfish;7.02;4.87;28.56
02/01/26 23.45;Catfish;7.15;4.2;28.63
03/01/26 00.00;Catfish;7.1;4.49;28.5
03/01/26 00.15;Catfish;6.94;4.46;28.69
03/01/26 00.30;Catfish;7.17;4.16;28.65
03/01/26 00.45;Catfish;7.07;4.65;28.85
03/01/26 01.00;Catfish;7.05;4.72;28.59
03/01/26 01.15;Catfish;6.91;4.48;28.67
03/01/26 01.30;Catfish;6.81;4.35;28.79
03/01/26 01.45;Catfish;7.08;4.57;28.61
03/01/26 02.00;Catfish;7.11;4.06;28.82
03/01/26 02.15;Catfish;7.01;4.51;28.9
03/01/26 02.30;Catfish;7.11;4.32;28.85
03/01/26 02.45;Catfish;7.13;4.5;28.82
03/01/26 03.00;Catfish;7.01;4.39;28.99
03/01/26 03.15;Catfish;7.08;4.47;28.74
03/01/26 03.30;Catfish;7.07;4.7;28.72
03/01/26 03.45;Catfish;7;4.51;28.87
03/01/26 04.00;Catfish;7.06;4.61;28.96
03/01/26 04.15;Catfish;6.86;4.81;29.03
03/01/26 04.30;Catfish;7.2;4.42;29.03
03/01/26 04.45;Catfish;7.04;4.27;29.29
03/01/26 05.00;Catfish;6.94;4.47;29.25
03/01/26 05.15;Catfish;6.93;4.46;29.1
03/01/26 05.30;Catfish;7.31;4.9;29.15
03/01/26 05.45;Catfish;7.12;5.19;29.3
03/01/26 06.00;Catfish;7.05;4.58;29.4
03/01/26 06.15;Catfish;7.07;4.31;29.43
03/01/26 06.30;Catfish;6.98;4.58;29.46
03/01/26 06.45;Catfish;7.23;5.29;29.35
03/01/26 07.00;Catfish;7.18;4.62;29.4
03/01/26 07.15;Catfish;7.17;4.7;29.55
03/01/26 07.30;Catfish;6.94;4.49;29.4
03/01/26 07.45;Catfish;7.04;4.63;29.47
03/01/26 08.00;Catfish;7.08;4.41;29.25
03/01/26 08.15;Catfish;7.07;4.67;29.5
03/01/26 08.30;Catfish;7;4.79;29.52
03/01/26 08.45;Catfish;6.94;4.38;29.42
03/01/26 09.00;Catfish;7.07;4.88;29.55
03/01/26 09.15;Catfish;7.02;5.05;29.55
03/01/26 09.30;Catfish;7.02;4.85;29.46
03/01/26 09.45;Catfish;7.09;4.73;29.59
03/01/26 10.00;Catfish;7.22;4.39;29.62
03/01/26 10.15;Catfish;7.18;4.52;29.53
03/01/26 10.30;Catfish;7.06;4.88;29.55
03/01/26 10.45;Catfish;7.2;4.82;29.72
03/01/26 11.00;Catfish;7.06;5.05;29.62
03/01/26 11.15;Catfish;7.2;4.7;29.56
03/01/26 11.30;Catfish;7.22;5.04;29.59
03/01/26 11.45;Catfish;6.98;4.47;29.55
03/01/26 12.00;Catfish;7.25;5.01;29.65
03/01/26 12.15;Catfish;6.93;5.09;29.59
03/01/26 12.30;Catfish;7.25;4.61;29.42
03/01/26 12.45;Catfish;7.17;4.63;29.65
03/01/26 13.00;Catfish;7.11;4.81;29.42
03/01/26 13.15;Catfish;7.11;5;29.66
03/01/26 13.30;Catfish;7.02;4.78;29.39
03/01/26 13.45;Catfish;7.17;5.09;29.3
03/01/26 14.00;Catfish;7.24;5.07;29.5
03/01/26 14.15;Catfish;7.18;5.22;29.34
03/01/26 14.30;Catfish;7.15;5.11;29.24
03/01/26 14.45;Catfish;7;4.69;29.42
03/01/26 15.00;Catfish;7.14;5.04;29.41
03/01/26 15.15;Catfish;7.13;4.93;29.25
03/01/26 15.30;Catfish;7.28;5.2;29.4
03/01/26 15.45;Catfish;7.1;4.68;29.22
03/01/26 16.00;Catfish;7.05;4.64;29.06
03/01/26 16.15;Catfish;7.17;3.38;29.03
03/01/26 16.30;Catfish;7.13;3.66;29.1
03/01/26 16.45;Catfish;7.03;3.41;28.89
03/01/26 17.00;Catfish;7.12;3.97;28.79
03/01/26 17.15;Catfish;7.12;3.73;29.09
03/01/26 17.30;Catfish;7.11;3.74;28.95
03/01/26 17.45;Catfish;7.13;3.65;28.89
03/01/26 18.00;Catfish;7.05;3.48;28.75
03/01/26 18.15;Catfish;7.14;3.61;28.97
03/01/26 18.30;Catfish;7.06;3.41;28.68
03/01/26 18.45;Catfish;7.07;3.65;28.61
03/01/26 19.00;Catfish;7.07;3.55;28.9
03/01/26 19.15;Catfish;7.21;3.81;28.98
03/01/26 19.30;Catfish;7.12;3.04;28.66
03/01/26 19.45;Catfish;7.13;3.24;28.47
03/01/26 20.00;Catfish;7.02;3.3;28.5
03/01/26 20.15;Catfish;7.05;3.17;28.64
03/01/26 20.30;Catfish;7.1;3.1;28.56
03/01/26 20.45;Catfish;7.04;3.46;28.67
03/01/26 21.00;Catfish;7.15;3.39;28.36
03/01/26 21.15;Catfish;7.06;3.29;28.53
03/01/26 21.30;Catfish;7.01;3.02;28.39
03/01/26 21.45;Catfish;6.98;2.96;28.32
03/01/26 22.00;Catfish;6.91;3.05;28.26
03/01/26 22.15;Catfish;7.09;3.19;28.49
03/01/26 22.30;Catfish;6.99;3.24;28.29
03/01/26 22.45;Catfish;6.97;3.24;28.43
03/01/26 23.00;Catfish;6.94;2.95;28.46
03/01/26 23.15;Catfish;7.01;3.09;28.26
03/01/26 23.30;Catfish;6.94;2.84;28.5
03/01/26 23.45;Catfish;6.96;2.94;28.44
04/01/26 00.00;Catfish;7.07;2.94;28.58
04/01/26 00.15;Catfish;7.02;3.08;28.27
04/01/26 00.30;Catfish;7.17;2.8;28.4
04/01/26 00.45;Catfish;6.87;3.03;28.48
04/01/26 01.00;Catfish;7.05;3.28;28.54
04/01/26 01.15;Catfish;7.08;2.89;28.35
04/01/26 01.30;Catfish;7.1;3.24;28.56
04/01/26 01.45;Catfish;7.11;2.92;28.49
04/01/26 02.00;Catfish;7.04;3.1;28.69
04/01/26 02.15;Catfish;7.02;2.67;28.6
04/01/26 02.30;Catfish;7.09;2.87;28.72
04/01/26 02.45;Catfish;7.01;3.2;28.55
04/01/26 03.00;Catfish;7.03;2.84;28.84
04/01/26 03.15;Catfish;7.01;3.14;28.76
04/01/26 03.30;Catfish;6.91;2.97;28.89
04/01/26 03.45;Catfish;7.16;3.07;28.83
04/01/26 04.00;Catfish;7.09;3.33;28.72
04/01/26 04.15;Catfish;6.97;2.91;28.95
04/01/26 04.30;Catfish;7.06;3.05;28.95
04/01/26 04.45;Catfish;6.97;2.78;28.87
04/01/26 05.00;Catfish;6.81;3.28;29.07
04/01/26 05.15;Catfish;6.97;3.19;29.02
04/01/26 05.30;Catfish;7.03;2.98;29.01
04/01/26 05.45;Catfish;7.14;3;29.13
04/01/26 06.00;Catfish;7.08;3.61;29.19
04/01/26 06.15;Catfish;7.1;3.56;29.22
04/01/26 06.30;Catfish;7.13;3.63;29.42
04/01/26 06.45;Catfish;7.2;3.67;29.33
04/01/26 07.00;Catfish;7.11;3.49;29.68
04/01/26 07.15;Catfish;7.1;4.01;29.45
04/01/26 07.30;Catfish;6.99;3.8;29.56
04/01/26 07.45;Catfish;7.09;3.92;29.51
04/01/26 08.00;Catfish;7.1;3.53;29.29
04/01/26 08.15;Catfish;7.15;4;29.63
04/01/26 08.30;Catfish;7.18;4.05;29.72
04/01/26 08.45;Catfish;7.18;3.87;29.59
04/01/26 09.00;Catfish;7;3.89;29.63
04/01/26 09.15;Catfish;7.14;4.25;29.7
04/01/26 09.30;Catfish;7;4.96;29.71
04/01/26 09.45;Catfish;7.25;5.25;29.77
04/01/26 10.00;Catfish;7.29;5.28;29.65
04/01/26 10.15;Catfish;7.05;4.97;29.81
04/01/26 10.30;Catfish;7.2;5.23;29.71
04/01/26 10.45;Catfish;7.2;5.45;29.83
04/01/26 11.00;Catfish;7.25;5.14;29.93
04/01/26 11.15;Catfish;7.33;5.25;29.96
04/01/26 11.30;Catfish;7.19;5.25;29.68
04/01/26 11.45;Catfish;7.06;5.16;29.85
04/01/26 12.00;Catfish;7.12;5.29;29.67
04/01/26 12.15;Catfish;7.25;5.66;29.73
04/01/26 12.30;Catfish;7.06;5.56;29.7
04/01/26 12.45;Catfish;7.2;5.35;29.74
04/01/26 13.00;Catfish;7.21;5.47;29.62
04/01/26 13.15;Catfish;7.19;5.35;29.57
04/01/26 13.30;Catfish;7.26;5.24;29.53
04/01/26 13.45;Catfish;7.27;5.69;29.59
04/01/26 14.00;Catfish;7.29;5.27;29.58
04/01/26 14.15;Catfish;7.15;5.93;29.68
04/01/26 14.30;Catfish;7.18;5.1;29.7
04/01/26 14.45;Catfish;7.14;4.93;29.61
04/01/26 15.00;Catfish;7.09;5.14;29.5
04/01/26 15.15;Catfish;7.06;5.2;29.63
04/01/26 15.30;Catfish;7.08;5.14;29.34
04/01/26 15.45;Catfish;7.22;5.17;29.23
04/01/26 16.00;Catfish;7.29;5.31;29.26
04/01/26 16.15;Catfish;7.22;4.45;29.15
04/01/26 16.30;Catfish;7.22;5.26;29.15
04/01/26 16.45;Catfish;7.16;5.22;29.09
04/01/26 17.00;Catfish;7.28;5.08;29.12
04/01/26 17.15;Catfish;7.25;5.02;29.14
04/01/26 17.30;Catfish;7.12;4.73;29.23
04/01/26 17.45;Catfish;7.06;4.96;28.95
04/01/26 18.00;Catfish;7.16;5.02;28.96
04/01/26 18.15;Catfish;7.22;5.17;29.07
04/01/26 18.30;Catfish;7.18;5.18;28.81
04/01/26 18.45;Catfish;7.26;4.89;28.96
04/01/26 19.00;Catfish;7.06;4.72;28.68
04/01/26 19.15;Catfish;7.08;4.94;28.72
04/01/26 19.30;Catfish;7.08;4.37;28.63
04/01/26 19.45;Catfish;7.23;4.99;28.76
04/01/26 20.00;Catfish;7.05;4.88;28.97
04/01/26 20.15;Catfish;7.19;4.8;28.66
04/01/26 20.30;Catfish;7.14;4.51;28.65
04/01/26 20.45;Catfish;7.16;4.73;28.65
04/01/26 21.00;Catfish;7.12;4.41;28.58
04/01/26 21.15;Catfish;7.03;4.94;28.7
04/01/26 21.30;Catfish;6.88;4.66;28.55
04/01/26 21.45;Catfish;7.1;4.52;28.66
04/01/26 22.00;Catfish;7.08;4.3;28.64
04/01/26 22.15;Catfish;7.23;4.32;28.65
04/01/26 22.30;Catfish;6.95;4.86;28.69
04/01/26 22.45;Catfish;7.1;4.56;28.7
04/01/26 23.00;Catfish;7.19;4.82;28.51
04/01/26 23.15;Catfish;7.02;4.44;28.7
04/01/26 23.30;Catfish;7.06;4.52;28.57
04/01/26 23.45;Catfish;6.96;4.2;28.68
05/01/26 00.00;Catfish;7.01;4.25;28.62
05/01/26 00.15;Catfish;7;4.36;28.7
05/01/26 00.30;Catfish;7.08;4.46;28.68
05/01/26 00.45;Catfish;7.01;4.5;28.52
05/01/26 01.00;Catfish;7;4.19;28.8
05/01/26 01.15;Catfish;7;4.52;28.53
05/01/26 01.30;Catfish;6.88;4.35;28.6
05/01/26 01.45;Catfish;7.01;4.25;28.84
05/01/26 02.00;Catfish;7.08;4.87;28.61
05/01/26 02.15;Catfish;7.1;4.22;28.87
05/01/26 02.30;Catfish;6.98;4.6;28.76
05/01/26 02.45;Catfish;7.11;4.46;29
05/01/26 03.00;Catfish;7.07;4.44;28.77
05/01/26 03.15;Catfish;6.89;4.37;28.87
05/01/26 03.30;Catfish;7.01;4.77;28.84
05/01/26 03.45;Catfish;7.04;4.34;28.67
05/01/26 04.00;Catfish;7.06;4.3;29.12
05/01/26 04.15;Catfish;7.11;4.93;29.21
05/01/26 04.30;Catfish;7.03;4.44;29.1
05/01/26 04.45;Catfish;7.05;4.86;29.23
05/01/26 05.00;Catfish;7.12;4.31;29.27
05/01/26 05.15;Catfish;7.18;4.42;29.27
05/01/26 05.30;Catfish;7.02;4.86;29.18
05/01/26 05.45;Catfish;6.97;4.89;29.3
05/01/26 06.00;Catfish;7.08;4.57;29.3
05/01/26 06.15;Catfish;7.09;5.01;29.28
05/01/26 06.30;Catfish;7.04;5.21;29.29
05/01/26 06.45;Catfish;7.15;4.82;29.46
05/01/26 07.00;Catfish;7.16;4.81;29.51
05/01/26 07.15;Catfish;7.1;5;29.57
05/01/26 07.30;Catfish;7.07;4.71;29.72
05/01/26 07.45;Catfish;7.23;4.44;29.63
05/01/26 08.00;Catfish;7.12;4.76;29.52
05/01/26 08.15;Catfish;7.23;4.99;29.59
05/01/26 08.30;Catfish;7.05;4.98;29.37
05/01/26 08.45;Catfish;7.02;4.94;29.6
05/01/26 09.00;Catfish;7.25;5.2;29.64
05/01/26 09.15;Catfish;7.17;5.19;29.76
05/01/26 09.30;Catfish;7.37;5.05;29.82
05/01/26 09.45;Catfish;6.9;4.89;29.83
05/01/26 10.00;Catfish;7.32;5.47;29.64
05/01/26 10.15;Catfish;7.17;5.32;29.75
05/01/26 10.30;Catfish;7.09;5.07;29.74
05/01/26 10.45;Catfish;7.16;5.17;29.91
05/01/26 11.00;Catfish;7.34;5.03;29.64
05/01/26 11.15;Catfish;6.99;5.07;29.78
05/01/26 11.30;Catfish;7.12;5.45;29.54
05/01/26 11.45;Catfish;7.15;5.54;29.83
05/01/26 12.00;Catfish;7.04;5.67;29.87
05/01/26 12.15;Catfish;7.19;5.11;29.8
05/01/26 12.30;Catfish;7.18;5.17;29.77
05/01/26 12.45;Catfish;7.15;5.04;29.62
05/01/26 13.00;Catfish;7.18;5.28;29.74
05/01/26 13.15;Catfish;6.98;5.43;29.54
05/01/26 13.30;Catfish;7.11;5.28;29.68
05/01/26 13.45;Catfish;7.21;5.37;29.64
05/01/26 14.00;Catfish;7.07;5.33;29.64
05/01/26 14.15;Catfish;7.28;5.12;29.68
05/01/26 14.30;Catfish;7.11;5.18;29.56
05/01/26 14.45;Catfish;7.23;5.42;29.45
05/01/26 15.00;Catfish;7.38;5.29;29.69
05/01/26 15.15;Catfish;7.16;5.09;29.29
05/01/26 15.30;Catfish;7.21;5.29;29.4
05/01/26 15.45;Catfish;7.13;5.41;29.5
05/01/26 16.00;Catfish;7.26;5.01;29.31
05/01/26 16.15;Catfish;7.09;4.93;29.32
05/01/26 16.30;Catfish;7.21;5.13;28.97
05/01/26 16.45;Catfish;7.09;5.39;29.33
05/01/26 17.00;Catfish;7.12;5.09;29.15
05/01/26 17.15;Catfish;7.26;5.24;29.15
05/01/26 17.30;Catfish;7.06;5.14;29.16
05/01/26 17.45;Catfish;7.07;5.08;29.12
05/01/26 18.00;Catfish;7.13;5.22;29.1
05/01/26 18.15;Catfish;7.11;4.87;28.99
05/01/26 18.30;Catfish;7.1;4.71;29
05/01/26 18.45;Catfish;7.15;5.09;29.05
05/01/26 19.00;Catfish;7.14;4.82;28.85
05/01/26 19.15;Catfish;7.14;4.83;28.81
05/01/26 19.30;Catfish;7.1;4.84;28.88
05/01/26 19.45;Catfish;7.14;4.89;28.62
05/01/26 20.00;Catfish;7.1;4.88;28.8
05/01/26 20.15;Catfish;7.16;4.86;28.68
05/01/26 20.30;Catfish;7.14;4.75;28.5
05/01/26 20.45;Catfish;7.04;4.42;28.82
05/01/26 21.00;Catfish;7.16;5.01;28.52
05/01/26 21.15;Catfish;7.03;4.5;28.44
05/01/26 21.30;Catfish;7.04;4.59;28.65
05/01/26 21.45;Catfish;7.01;4.38;28.46
05/01/26 22.00;Catfish;7.07;4.59;28.87
05/01/26 22.15;Catfish;6.93;4.48;28.38
05/01/26 22.30;Catfish;7;4.46;28.56
05/01/26 22.45;Catfish;6.97;4.17;28.73
05/01/26 23.00;Catfish;7.09;4.37;28.53
05/01/26 23.15;Catfish;7.05;4.55;28.58
05/01/26 23.30;Catfish;7.21;4.19;28.71
05/01/26 23.45;Catfish;7.16;4.35;28.53
06/01/26 00.00;Catfish;7.15;4.65;28.43
06/01/26 00.15;Catfish;6.97;4.54;28.51
06/01/26 00.30;Catfish;7.17;4.18;28.83
06/01/26 00.45;Catfish;7.1;4.26;28.53
06/01/26 01.00;Catfish;7.11;4.76;28.48
06/01/26 01.15;Catfish;7.06;4.15;28.62
06/01/26 01.30;Catfish;7.01;4.33;28.67
06/01/26 01.45;Catfish;6.99;4.95;28.79
06/01/26 02.00;Catfish;7.18;4.41;28.82
06/01/26 02.15;Catfish;7;4.43;28.77
06/01/26 02.30;Catfish;7.04;4.67;28.86
06/01/26 02.45;Catfish;6.93;4.38;29.02
06/01/26 03.00;Catfish;7.16;4.39;28.97
06/01/26 03.15;Catfish;7.22;4.57;28.88
06/01/26 03.30;Catfish;7.13;4.66;28.92
06/01/26 03.45;Catfish;6.98;4.29;28.79
06/01/26 04.00;Catfish;7.08;4.32;29.12
06/01/26 04.15;Catfish;6.89;4.59;28.94
06/01/26 04.30;Catfish;7.03;4.68;29.09
06/01/26 04.45;Catfish;7.18;4.68;29.06
06/01/26 05.00;Catfish;7.05;4.71;29.23
06/01/26 05.15;Catfish;6.9;4.41;29.21
06/01/26 05.30;Catfish;7.07;4.14;29.12
06/01/26 05.45;Catfish;7.13;4.58;29.23
06/01/26 06.00;Catfish;7.11;4.54;29.26
06/01/26 06.15;Catfish;7.14;4.56;29.28
06/01/26 06.30;Catfish;7.12;4.63;29.51
06/01/26 06.45;Catfish;6.94;4.88;29.25
06/01/26 07.00;Catfish;7.19;4.84;29.24
06/01/26 07.15;Catfish;7.19;4.88;29.57
06/01/26 07.30;Catfish;7.15;4.77;29.58
06/01/26 07.45;Catfish;6.94;4.88;29.61
06/01/26 08.00;Catfish;7.13;4.82;29.73
06/01/26 08.15;Catfish;7.28;5.14;29.68
06/01/26 08.30;Catfish;7.11;4.65;29.59
06/01/26 08.45;Catfish;7.06;4.97;29.62
06/01/26 09.00;Catfish;7.2;4.96;29.61
06/01/26 09.15;Catfish;7.29;5.19;29.7
